Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,gpu_brand,gpu_model,vram,prices
Apple,Apple,M5,None,24,1TB,15,Liquid Retina,No GPU,No GPU,0,169990
Apple,Apple,M5,None,16,1TB,15,Liquid Retina,No GPU,No GPU,0,151690
Apple,Apple,M5,None,24,1TB,13,Liquid Retina,No GPU,No GPU,0,146990
Apple,Apple,M5,None,24,1TB,13,Liquid Retina,No GPU,No GPU,0,146990
Apple,Apple,M5,None,16,1TB,13,Liquid Retina,No GPU,No GPU,0,128690
Apple,Apple,M5,None,24,1TB,13,Liquid Retina,No GPU,No GPU,0,146990
Apple,Apple,M5,None,16,1TB,13,Liquid Retina,No GPU,No GPU,0,128690
Apple,Apple,M5,None,24,1TB,13,Liquid Retina,No GPU,No GPU,0,146990
Apple,Apple,M5,None,16,1TB,13,Liquid Retina,No GPU,No GPU,0,128690
HP,Intel,Core Ultra,7,32,1TB,14,3K,Integrated,Integrated,0,121999
ASUS,Intel,Core Ultra,9,32,1TB,14,OLED,Integrated,Integrated,0,137990
Apple,Apple,M5,None,16,512GB,14,Liquid Retina XDR,No GPU,No GPU,0,152900
Dell,AMD,Ryzen,3,8,512GB,15.6,FHD,Integrated,Integrated,0,34499
