name,processor,ram,storage,display,graphics,prices
HPLaptop,IntelCore5,16GBRAM,512GBSSD,14Inch(35.6cm)FHDDisplay,IntelIrisXeGraphics,"63,990"
Dell14PlusLaptop,IntelCoreUltra7,16GBRAM,512GBSSD,14Inch(35.56cm)2.5KDisplay,IntelArcGraphics,"1,01,999"
LenovoIdeaPadSlim3Laptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.3Inch(38.86cm)WUXGADisplay,IntelUHDGraphics,"72,999"
ASUSROGStrixG16GamingLaptop,AMDRyzen98940HX,16GBRAM,1TBSSD,16Inch(40.64cm)FHD+Display,NVIDIAGeForceRTX5050Graphics,"1,73,990"
LenovoIdeaPadSlim3StandardLaptop,AMDRyzen57520U,16GBRAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntegratedAMDRadeon610MGPU,"53,999"
HPVictusGamingLaptop,AMDRyzen7,16GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"91,499"
DellDC15250Laptop,13thGenIntelCorei5,16GBRAM,1TBSSD,15.6Inch(39.62cm)FHDIPSDisplay,IntelUHDGraphics,"74,999"
HPLaptop,IntelCoreUltra5,24GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,IntelArcGraphics,"77,499"
ASUSVivobook15StandardLaptop,IntelCore5Processor120U,16GBRAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelGraphicsGPU,"68,990"
HPVictusGamingLaptop,14thGenIntelCorei5,24GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"90,999"
ASUSTUFGamingF16GamingLaptop,IntelCore5Processor210H,16GBRAM,512GBSSD,16Inch(40.6cm)FullHDDisplay,NVIDIAGeForceRTX30506GBGDDR6GPU,"88,990"
HPVictusGamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"84,999"
Dell14Plus2in1Laptop,IntelCoreUltra5,16GBRAM,512GBSSD,14Inch(35.6cm)FHD+Display,IntelArcGraphics,"99,990"
Dell14PlusLaptop,IntelCoreUltra5,16GBRAM,512GBSSD,14Inch(35.56cm)2.5KDisplay,IntelArcGraphics,"86,999"
AcerNitroLiteNL16-71GGamingLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,16Inch(40.64cm)WUXGADisplay,6GB-NVIDIAGeForceRTX4050Graphics,"86,999"
AcerNitroV15ANV15-52GamingLaptop,13thGenIntelCorei7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDIPSDisplay,8GB-NVIDIAGeForceRTX5060Graphics,"1,12,599"
LenovoLOQ15IRX9GamingLaptop,IntelCorei513thGen,16GBRAM,512GBSSD,15.6InchFullHD144HzIPSDisplay,NVIDIAGeForceRTX40506GBGPU,"1,10,999"
HPVictusGamingLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"84,990"
HPStandardLaptop,AMDRyzen3,8GBRAM,512GBSSD,15.6inch(39.62cm)Display,Windows11Home,"49,499"
DellNew15Laptop,IntelCorei3,16GBRAM,512GBSSD,15.6inch(39.62cm)Display,IntelUHDGraphics,"56,990"
HP15sStandardLaptop,IntelCore5,8GB,512GBSSD,FullHD,15.6inch(39.62cm)FHDDisplay,"56,499"
LenovoLegion-15SeriesAIGamingLaptop,AMDRyzen7260,16GBRAM,1TBSSD,15.3Inch(38.86cm)WQXGA165HzIPSDisplay,NVIDIAGeForceRTX50608GBGPU,"1,79,999"
HPLaptop,IntelCore5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"66,499"
HPOmniBook7AILaptop,IntelCoreUltra5-225H,16GBRAM,1TBSSD,"14Inch(35.56cm)diagonal,3KOLEDDisplay",IntelArc130TGPU,"99,999"
ASUSROGStrixG16GamingLaptop,AMDRyzen98940HX,16GBRAM,1TBSSD,16Inch(40.64cm)FHD+Display,NVIDIAGeForceRTX5050GPU,"1,73,990"
HPVictusGamingLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"79,990"
LenovoLOQ15IAX9EGamingLaptop,12thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GB-NVIDIAGeForceRTX3050AGraphics,"78,499"
HPVictusGamingLaptop,AMDRyzen7260,24GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,09,999"
HPThin&LightLaptop,IntelCoreUltra7,16GBRAM,512GBSSD,14Inch(35.6cm)FullHDDisplay,IntelArcGraphics,"79,999"
HPThin&LightLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,AMDRadeon680MGraphics,"61,990"
LenovoIdeaPadSlim315Q8X10Thin&LightLaptop,SnapdragonXX1-26-100,16GBRAM,512GBSSD,15.3Inch(38.86cm)WUXGADisplay,QualcommAdrenoGraphics,"68,499"
Dell15Thin&LightLaptop,AMDRyzen5HexaCore7530U,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"54,990"
SamsungGalaxyBook5Laptop,IntelCoreUltra7,16GBLPDDR5XRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"94,990"
AcerPredatorHeliosNeo16SGamingLaptop,IntelCoreUltra7,16GBRAM,1TBStorage,16Inch(40.64cm)OLEDDisplay,8GB-NVIDIAGeForceRTX5060Graphics,"1,74,990"
HPThin&LightLaptop,AMDRyzen5Thin,8GBRAM,512GBSSD,AMDRadeonGraphics,Windows11Home,"49,999"
AcerNitroV15ANV15-52GamingLaptop,13thGenIntelCorei7,16GBRAM,512GBStorage,15.6Inch(39.62cm)FHDIPSDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,12,999"
Dell16PlusLaptop,AMDRyzenAI5340,16GBRAM,512GBSSD,16Inch(40.64cm)2KAnti-GlareDisplay,AMDRadeon™Graphics,"72,950"
ASUSTUFA15GamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GB-NVIDIAGeForceRTX3050Graphics,"78,990"
Dell14PlusLaptop,AMDRyzenAI5,16GBRAM,512GBSSD,14inch(35.56cm)Display,AMDRadeonGraphics,"75,490"
DellNew15Laptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6inch(39.62cm)Display,IntelUHDGraphics,"70,490"
LenovoYogaSlim714IMH9Thin&LightLaptop,IntelCoreUltra7155H,32GBRAM,1TBSSD,14Inch(35.56cm)OLEDDisplay,IntelArcGraphics,"1,07,999"
HPVictusGamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GB-NVIDIAGeForceRTX2050Graphics,"67,899"
HPVictusGamingLaptop,13thGenIntelCorei7,24GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,19,990"
HPVictusGamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.6cm)144HzFullHDIPSDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"78,990"
HPThin&LightLaptop,IntelCore5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,IntelUHDGraphics,"64,999"
LenovoLOQ15GamingLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"99,999"
HPOmniBook3Thin&LightLaptop,AMDRyzenAI5,16GBRAM,512GBSSD,14Inch(35.6cm)FHDDisplay,AMDRadeon840MGraphics,"60,999"
