name,processor,ram,storage,display,graphics,prices
SamsungGalaxyBook6Pro,IntelCoreUltra7,16GBRAM,1TBSSD,14Inch(35.56cm)WQXGA+DisplaywithTouchscreen,IntelGraphics,"1,84,990"
SamsungGalaxyBook6Ultra,IntelCoreUltraX7,32GBRAM,1TBSSD,16Inch(40.62cm)WQXGA+DisplaywithTouchscreen,IntelArcB390Graphics,"2,42,990"
MicrosoftNewSurfaceTouchscreenLaptop,SnapdragonXPlus(8Core),16GBRAM,256GBSSD,13Inch(33.02cm)PixelSenseDisplay,Copilot+PC,"1,07,999"
MicrosoftSurfacePro2-in-1TouchscreenLaptop,SnapdragonXPlus,16GBRAM,256GBSSD,12InchPixelSenseLCDdisplay,Copilot+PC,"95,999"
MicrosoftSurfacePro,11thEdition)(SnapdragonXPlus(10Core),16GBRAM,512GBSSD,13inch(33.02cm)Display,QualcommGraphics,"1,43,999"
MicrosoftSurfacePro,11thEdition)(SnapdragonXPlus(10Core),16GBRAM,256GBSSD,13inch(33.02cm)Display,QualcommGraphics,"1,24,999"
MicrosoftSurfacePro,11thEdition)(SnapdragonXElite(12Core),16GBRAM,512GBSSD,13inch(33.02cm)Display,QualcommGraphics,"1,77,999"
MicrosoftSurfaceLaptop,7thEdition)(SnapdragonXPlus(10Core),16GBRAM,512GBSSD,13.8inch(35.05cm)Display,QualcommGraphics,"1,44,999"
SamsungGalaxyBook6Ultra,IntelCoreUltra7,32GBRAM,1TBSSD,16Inch(40.62cm)WQXGA+DisplaywithTouchscreen,8GB-NVIDIAGeForceRTX5070Graphics,"4,17,190"
SamsungGalaxyBook6Pro,IntelCoreUltra7,32GBRAM,1TBSSD,14Inch(35.56cm)WQXGA+DisplaywithTouchscreen,IntelGraphics,"2,04,990"
SamsungGalaxyBook6,IntelCoreUltra7,16GBRAM,1TBSSD,16Inch(40.62cm)WUXGADisplaywithTouchscreen,IntelGraphics,"1,98,790"
LenovoYoga72-in-114AKP10Laptop,AMDRyzenAI7,32GBRAM,1TBSSD,14Inch(35.56cm)OLED10-pointMulti-touchDisplay,AMDRadeon860MGraphics,"1,16,999"
LenovoIdeaPadSlim3Laptop,AMDRyzen3,8GBDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"43,999"
AcerNitroV15ANV15-52GamingLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDIPSDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"90,599"
LenovoLOQ15ARP9GamingLaptop,AMDRyzen5,12GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GB-NVIDIAGeForceRTX3050AGraphics,"70,999"
HPLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FHDDisplay,IntelIrisXeGraphics,"60,499"
HPLaptop,IntelCore3,8GBRAM,512GBSSD,15.6Inch(39.6cm)FHDDisplay,IntelGraphics,"53,490"
ASUSTUFA16GamingLaptop,AMDRyzen77445HS,16GBRAM,512GBStorage,16Inch(40.64cm)FHD+Display,6GB-NVIDIAGeForceRTX4050Graphics,"1,06,990"
ASUSVivobook15LightWeightLaptop,13thGenIntelCorei3,16GBRAM,512GBStorage,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"53,990"
ASUSVivobook15LightWeightLaptop,13thGenIntelCorei3,8GBRAM,512GBStorage,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"47,990"
AsusTUFF16GamingLaptop,IntelCore5,16GBRAM,512GBStorage,16Inch(40.64cm)FHD+Display,6GB-NVIDIAGeForceRTX4050Graphics,"1,04,990"
DellDC14250Laptop,IntelCore5,16GBRAM,512GBSSD,14Inch(35.56cm)FullHD+Display,IntelUHDGraphics,"64,999"
HPLaptop,IntelCoreUltra5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FHDIPSDisplay,IntelArcGraphics,"71,999"
ASUSVivobookGo14StandardLaptop,AMDRyzen™57520U,16GBRAM,512GBSSD,14InchFullHDAnti-GlareDisplay,IntegratedAMDRadeonGraphicsGPU,"48,990"
LenovoYogaSlim714IMH9Thin&LightLaptop,IntelCore9,32GBRAM,1TBSSD,14InchWUXGAOLEDDisplay,IntegratedIntelGraphicsGPU,"1,05,990"
LenovoLOQ15IRX10GamingLaptop,IntelCorei714thGen,32GBRAM,1TBSSD,15.6InchFullHD144HzIPSDisplay,NVIDIAGeForceRTX50608GBGPU,"1,47,999"
StoreDisplayUnit-DellInspiron3530Laptop,IntelCorei513thGen,8GBRAM,512GBSSD,15.6InchFullHDDisplay,IntegratedIntelUHDGraphicsGPU,"54,499"
ASUSVivobook15Laptop,IntelCorei3-1315U,8GBRAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelUHDGraphicsGPU,"47,990"
ASUSVivobookGo14StudentLaptop,AMDRyzen37320U,8GBRAM,512GBSSD,14Inch(35.56cm)FHDDisplay,AMDRadeonGraphics,"43,990"
StoreDisplayUnit-AppleMacBookProM4Chip,16GBRAM,512GBSSD,14.2inch(35.97cm)LiquidRetinaXDRDisplay,10-coreCPU,10-coreGPUmacOS,"1,14,900"
StoreDisplayUnit-AppleMacBookProM4Chip,16GBRAM,512GBSSD,14.2inch(35.97cm)LiquidRetinaXDRDisplay,10-coreCPU,10-coreGPUmacOS,"1,14,900"
"MicrosoftNewSurface13""TouchscreenLaptop",SnapdragonXPlus(8Core),16GBRAM,256GBSSD,13Inch(33.02cm)PixelSenseDisplay,Copilot+PC,"1,00,999"
"MicrosoftNewSurface13""TouchscreenLaptop",SnapdragonXPlus(8Core),16GBRAM,512GBSSD,13Inch(33.02cm)PixelSenseDisplay,Copilot+PC,"1,11,990"
Dell15Laptop,13thGenIntelCorei7-1355U,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"73,499"
LenovoYoga72-in-114AKP10Laptop,AMDRyzenAI7,24GBRAM,1TBSSD,14Inch(35.56cm)OLED10-pointMulti-touchDisplay,AMDRadeon860MGraphics,"99,990"
StoreDisplayUnit-ASUSVivobookGo14StudentLaptop,AMDRyzen37320U,8GBLPDDR5RAM,512GBSSD,14Inch(35.56cm)FHDDisplay,AMDRadeonGraphics,"43,990"
Dell14Thin&LightLaptop,13thGenIntelCorei3-1305U,8GBDDR5RAM,512GBSSD,14Inch(35.56cm)FHD+Display,IntelUHDGraphics,"42,999"
AsusVivobookGo14Thin&LightLaptop,AMDRyzen5QuadCore7520U,8GBRAM,512GBSSD,14Inch(35.56)FHDDisplay,AMDRadeonGraphics,"43,990"
StoreDisplayUnit-HPThin&LightLaptop,AMDRyzen5,16GBRAM,512GBSSD,AMDRadeonGraphics,Windows11Home,"46,999"
HPThin&LightLaptop,AMDRyzen3,8GBRAM,512GBSSD,14inch(35.56cm)Display,AMDRadeonGraphics,"38,999"
LenovoIdeaPadSlim315ABR8Thin&LightLaptop,AMDRyzen5,16GBRAM,512GBStorage,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"42,990"
HPThin&LightLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,IntelUHDGraphics,"59,490"
LenovoLOQ15IRX10GamingLaptop,IntelCorei7-13700HX,16GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,30,999"
LenovoLOQ15IRX10GamingLaptop,14thGenIntelCorei7,32GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,8GB-NVIDIAGeForceRTX5060Graphics,"1,47,999"
LenovoIdeaPadSlim514IRH10Thin&LightLaptop,13thGenIntelCorei5,16GBRAM,1TBSSD,14Inch(35.56cm)OLEDDisplay,IntelUHDGraphics,"65,999"
AcerAspireLiteThin&LightLaptop,12thGenIntelCorei7-12650H,16GBLPDDR5RAM,512GBSSD,15.6Inch(39.62cm)FullHDIPSDisplay,IntelUHDGraphics,"54,990"
AcerSwiftLitePremiumThin&LightLaptop,IntelCoreUltra5-115U,16GBLPDDR5RAM,512GBSSD,14Inch(35.56cm)WUXGAOLEDDisplay,IntelGraphics,"57,990"
StoreDisplayUnit-DellVostroThin&LightLaptop,12thGenIntelCorei5-1235U,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"53,999"
SamsungGalaxyBook5Laptop,IntelCoreUltra7,16GBLPDDR5XRAM,1TBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelGraphics,"1,03,990"
SamsungGalaxyBook5Laptop,IntelCoreUltra7,32GBLPDDR5XRAM,1TBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelGraphics,"1,19,990"
SamsungGalaxyBook5Laptop,IntelCoreUltra5,16GBLPDDR5XRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"81,990"
ASUSVivobookS14LightWeightLaptop,IntelCore5210H,16GBRAM,512GBStorage,14Inch(35.56cm)WUXGADisplay,IntelUHDGraphics,"65,990"
ASUSTUFA16GamingLaptop,AMDRyzen77445HS,16GBRAM,1TBStorage,16Inch(40.64cm)FHD+Display,6GB-NVIDIAGeForceRTX4050Graphics,"1,11,990"
HPThin&LightLaptop,IntelCore3,16GB,512GBSSD,Windows11,15.6inch(39.6cm)FHDDisplay,"46,999"
DellAlienware16AuroraGamingLaptop,IntelCore7,16GBRAM,1TBStorage,16Inch(40.64cm)WQXGADisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,49,990"
AcerSwiftGo14Thin&LightPremiumLaptop,IntelCoreUltra7,16GBRAM,1TBStorage,14Inch(35.56cm)OLEDMulti-touchIPSDisplay,IntelARCGraphics,"88,990"
AcerPredatorHeliosNeoGamingLaptop,IntelCoreUltra7,16GBRAM,1TBStorage,16Inch(40.64cm)OLEDDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,49,990"
MicrosoftSurfacePro2-in-1TouchscreenLaptop,SnapdragonXPlus,16GBRAM,256GBStorage,12InchPixelSense™LCDdisplay,Copilot+PC,"91,990"
MicrosoftSurfacePro2-in-1TouchscreenLaptop,SnapdragonXPlus,16GBRAM,512GBStorage,12InchPixelSense™LCDdisplay,Copilot+PC,"1,00,990"
AcerAspireLiteThin&LightLaptop,13thGenIntelCorei7,16GBRAM,512GBStorage,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"72,999"
LenovoIdeaPadSlim315ABR8Thin&LightLaptop,AMDRyzen5,8GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"41,499"
HPOMENGamingLaptop,14thGenIntelCorei7,24GBRAM,1TBSSD,16Inch(40.6cm)DiagonalDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,44,999"
HPVictusGamingLaptop,13thGenIntelCorei7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"89,990"
LenovoIdeaPadSlim314IRU8Thin&LightLaptop,13thGenIntelCorei3,8GBRAM,512GBSSD,14Inch(35.6cm)FullHDDisplay,IntelUHDGraphics,"48,499"
StoreDisplayUnit-HPOMENGamingLaptop,14thGenIntelCorei7,16GBRAM,1TBSSD,16.1Inch(40.9cm)FHDDisplay,8GB-NVIDIAGeForceRTX4060Graphics,"1,13,000"
HPThin&LightLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,AMDRadeonGraphics,"53,990"
StoreDisplayUnit-LenovoLOQ15GamingLaptop,13thGenIntelCorei5,24GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"88,990"
StoreDisplayUnit-HPThin&LightLaptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,IntelIrisXeGraphics,"50,190"
ASUSVivobook15Thin&LightLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.6cm)FHDIPSDisplay,AMDRadeonGraphics,"49,990"
DellG15GamingLaptop,13thGenIntelCorei7,16GBDDR5RAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,6GBNVIDIAGeForceRTX3050Graphics,"95,999"
StoreDisplayUnit-LenovoLOQ15ARP9GamingLaptop,AMDRyzen5,24GBDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GBNVIDIAGeForceRTX3050AGraphics,"76,999"
LenovoLOQ15ARP9GamingLaptop,AMDRyzen7,24GBDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GBNVIDIAGeForceRTX3050AGraphics,"71,990"
AcerAspireGo14AG14-71MLaptop,IntelCoreUltra5,16GBDDR5RAM,512GBSSD,14Inch(35.56cm)WUXGAIPSDisplay,IntelGraphics,"61,999"
HPThin&LightLaptop,IntelCoreUltra5,16GBDDR5RAM,512GBSSD,15.6Inch(39.6cm)diagonalFHDDisplay,IntelArcGraphics,"70,499"
AcerNitroV15GamingLaptop,AMDRyzen5,16GBDDR5RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,6GBNVIDIAGeForceRTX3050Graphics,"60,999"
StoreDisplayUnit-HPVictusGamingLaptop,AMDRyzen58645HS,16GBDDR5RAM,512GBSSD,15.6Inch(39.6cm)diagonalFHDDisplay,4GB-NVIDIAGeForceRTX2050Graphics,"60,990"
StoreDisplayUnit-HPEssentialsThin&LightLaptop,13thGenIntelCorei3,8GBDDR4RAM,512GBSSD,14Inch(35.6cm)diagonalFHDDisplay,IntelUHDGraphics,"42,499"
HPThin&LightLaptop,13thGenIntelCorei3,8GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,Intel®UHDGraphics,"41,990"
HPThin&LightLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)FullHDDisplay,IntelIrisXeGraphics,"59,999"
HPPavilionThin&LightLaptop,AMDRyzen™5,16GBLPDDR5RAM,512GBSSD,"16Inch(40.6cm)diagonal,WUXGAIPSDisplay",AMDRadeon™Graphics,"59,999"
StoreDisplayUnit-HPThin&LightLaptop2025,AMDRyzen5HexaCore7530U,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"47,990"
LenovoYogaSlim714ILL10Laptop,IntelCoreUltra5228V,32GBLPDDR5xRAM,1TBSSD,14Inch(35.56cm)OLEDDisplay,IntelArcGraphics130V,"1,19,999"
LenovoIdeaPadSlim315IRU8Thin&LightLaptop,13thGenIntelCorei3,8GBLPDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,Intel®UHDGraphics,"41,999"
LenovoIdeaPadSlim514AKP10Thin&LightLaptop,AMDRyzen7,24GBDDR5RAM,1TBSSD,14Inch(35.56cm)OLEDDisplay,AMDRadeon™860MGraphics,"93,999"
ASUSTUFF16GamingLaptop,13thGenIntelCorei5-13450HX,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)FHD+Display,NVIDIARTX50508GBGraphics,"1,19,990"
MSIThin15GamingLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,NVIDIAGeForceRTX30504GBGraphics,"76,990"
MSIThin15GamingLaptop,13thGenIntelCorei7,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,NVIDIAGeForceRTX30504GBGraphics,"89,990"
MSICyborg15GamingLaptop,IntelCore7,16GBDDR5RAM,1TBSSD,15.6Inch(39.62cm)FullHDDisplay,NVIDIAGeForceRTX50508GBGraphics,"1,15,990"
MSICyborg15GamingLaptop,IntelCore7,16GBDDR5RAM,1TBSSD,15.6Inch(39.62cm)FullHDDisplay,NVIDIAGeForceRTX50608GBGraphics,"1,25,990"
LenovoIdeaPadSlim315ABR8Thin&LightLaptop,AMDRyzen5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"40,990"
AcerAspireALGAL15G-53GamingLaptop,13thGenIntelCorei7,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,6GBNVIDIAGeForceRTX3050Graphics,"75,990"
AcerAspireLiteLaptop,AMDRyzen3,8GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,AMDRadeonGraphics,"49,999"
StoreDisplayUnit-HPThin&LightLaptop,13thGenIntelCorei3,8GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelUHDGraphics,"42,499"
ASUSROGStrixG16GamingLaptop,13thGenIntelCorei7,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)FHD+Display,6GBNVIDIAGeForceRTX4050Graphics,"1,13,990"
LenovoYogaSlim7Laptop,IntelCoreUltra5,16GBDDR5RAM,1TBSSD,14Inch(35.56cm)WUXGAOLEDDisplay,IntelArcGraphics,"88,999"
StoreDisplayUnit-AppleMacBookAirM3Chip16GBRAM/256GBSSD/15.3inch,38.91cm)LiquidRetinaDisplay,8-coreCPU,10-coreGPU,macOS,Starlight(1YearOnSiteGoWarranty,"75,000"
StoreDisplayUnit-AppleMacBookProM2ProChip,16GBRAM,512GBSSD,16.2InchLiquidRetinaXDRDisplay,16coreGPU,SpaceGrey)MNW83HN,"2,06,990"
StoreDisplayUnit-AppleMacBookProM1Chip,8GBRAM,256GBSSD,13InchRetinaDisplay,8coreGPU,SpaceGrey)MYD82HN,"69,990"
StoreDisplayUnit-DellInspiron3530Thin&LightLaptop,13thGenIntelCorri7-1355U,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelIrisXeGraphics,"72,990"
DellG15-5530GamingLaptop,13thGenIntelCorei7-13650HX,16GBDDR5RAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"93,990"
StoreDisplayUnit-DellInspiron5640Thin&LightLaptop,13thGenIntelCorei5-1334U,16GBDDR5RAM,512GBSSD,16Inch(40.64cm)FHD+Display,IntelIrisXeGraphics,"65,100"
DellInspiron74402in1Laptop,13thGenIntelCorei5-1334U,16GBDDR5RAM,512GBSSD,14Inch(35.56cm)FHD+Display,Intel®Iris®XeGraphics,"78,000"
DellInspiron3535Thin&LightLaptop,AMDRyzen5QuadCore7520U,8GBLPDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"42,999"
AcerAspireLiteAL15-53Thin&LightLaptop,IntelCorei5-1334U,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelUHDGraphics,"51,999"
StoreDisplayUnit-HPThin&LightLaptop,IntelCorei5,16GBDDR4RAM,512GBSSD,14Inch(35.56cm)FHDDisplay,IntelIrisXGraphics,"59,999"
StoreDisplayUnit-HPThin&LightLaptop,AMDRyzen5-7520U,8GBLPDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"44,990"
ASUSTUFGamingA15Laptop,AMDRyzen7-7435HS,16GBDDR5-4800RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,4GB-NVIDIAGeForceRTX3050Graphics,"66,990"
RefurbishedDellLatitude7310,Corei710thGen,16GB,512GBSSD,Webcam,13.3''NonTouch,"37,499"
RefurbishedHPElitebook830G7,Corei510thGen,16GB,512GBSSD,Webcam,"13.3""NonTouch","39,999"
RefurbishedHPProbook640G5,Corei58thGen,16GB,512GBSSD,Webcam,"14""NonTouch","28,999"
RefurbishedHPElitebook840G6,Corei78thGen,16GB,1TBSSD,Webcam,14''NonTouch,"37,499"
RefurbishedHPProbook640G5,Corei58thGen,8GB,512GBSSD,Webcam,"14""NonTouch","27,999"
RefurbishedHPProbook440G5,Corei57thGen,8GB,256GBSSD,Webcam,14'',"23,990"
RefurbishedLenovoThinkpadT480,Corei78thGen,8GB,512GBSSD,Webcam,14''NonTouch,"29,990"
RefurbishedDellLatitude7490,Corei58thGen,8GB,512GBSSD,Webcam,14''NonTouch,"27,499"
HPOmniBook7AeroNextGenAILaptop,AMDRyzenAI5,16GBLPDDR5xRAM,512GBSSD,13.3Inch(33.78cm)diagonalWQXGADisplay,AMDRadeon840MGraphics,"78,999"
HPOmniBook5NextGenAILaptop,AMDRyzenAI7,16GBLPDDR5xRAM,512GBSSD,16Inch(40.64cm)diagonal2KTouchscreenDisplay,AMDRadeon860MGraphics,"79,499"
HPOmniBook5NextGenAILaptop,AMDRyzenAI5,16GBLPDDR5xRAM,512GBSSD,16Inch(40.64cm)diagonal2KDisplay,AMDRadeon840MGraphics,"72,499"
HPOmniBookXFlipConvertibleLaptop,IntelCoreUltra7,16GBLPDDR5xRAM,512GBSSD,14Inch(35.56cm)diagonal3KOLEDTouchscreenDisplay,IntelArcGraphics,"1,38,999"
DellG15GamingLaptop,IntelCorei513thGen,16GBRAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"83,999"
AcerAspireALGAL15G-53GamingLaptop,13thGenIntelCorei5-13420H,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,6GB-NVIDIAGeForceRTXTM3050Graphics,"79,998"
LenovoIdeaPad5ConvertibleLaptop,IntelCorei513thGen,16GBLPDDR5xRAM,512GBSSD,14Inch(35.56cm)TouchscreenDisplay,IntelUHDGraphics,"76,499"
StoreDisplayUnit-ASUSVivobookGo14Laptop,AMDRyzen37320U,8GBLPDDR5RAM,512GBSSD,14Inch(35.56cm)FHDDisplay,AMDRadeonGraphics,"43,990"
StoreDisplayUnit-HP15Thin&LightLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelIrisXGraphics,"51,990"
StoreDisplayUnit-DellVostro3520Laptop,IntelCorei312thGen,8GBRAM,512GBSSD,15.6inch(39.62cm)FHDDisplay,IntelUHDGraphics,"34,000"
AppleMacBookAirM2chip,16GBRAM,256GBSSD,13.6inch(34.46cm)LiquidRetinaDisplay,8-coreCPU,8-coreGPUmacOS,"69,900"
StoreDisplayUnit-HP15sLaptop,12thGenIntelCorei5,8GBRAM,512GBSSD,15.6inch(39.6cm)FHDDisplay,IntelIrisXeGraphic,"42,000"
StoreDisplayUnit-LenovoIdeapad3Laptop,12thGenIntelCorei3,8GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)FHDDisplay,IntelUHDGraphics,"31,390"
StoreDisplayUnit-AcerALGAL15G-52GamingLaptop,12thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)FHDDisplay,144Hz,"53,000"
ASUSTUFGamingF16Laptop,IntelCore5210H,16GBDDR4RAM,512GBSSD,16Inch(40.64cm)FHD+Display,4GBGDDR6NVIDIAGeForceRTX3050AGraphics,"74,990"
"ASUSZenbookA14,AIPoweredLaptop",SnapdragonXX126100,16GBLPDDR5XRAM,512GBSSD,14Inch(35.56cm)WUXGAOLEDDisplay,QualcommAdrenoGPUGraphics,"99,990"
HPVictusGamingLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)diagonalFHDIPSDisplay,4GBNVIDIA®GeForceRTX2050Graphics,"64,559"
SamsungGalaxyBook5ProLaptop,IntelCoreUltra7,16GBLPDDR5XRAM,512GBSSD,16Inch(40.64cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,49,990"
SamsungGalaxyBook5Pro360Laptop,IntelCoreUltra7,32GBLPDDR5XRAM,1TBSSD,16Inch(40.64cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,95,990"
SamsungGalaxyBook5Pro360Laptop,IntelCoreUltra7,16GBLPDDR5XRAM,512GBSSD,16Inch(40.64cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,63,990"
SamsungGalaxyBook5Pro360Laptop,IntelCoreUltra5,16GBLPDDR5XRAM,512GBSSD,16Inch(40.64cm)WQXGA+DynamicAMOLED2XDisplay,IntelARCGraphics,"1,55,990"
SamsungGalaxyBook5360Laptop,IntelCoreUltra7,32GBLPDDR5XRAM,1TBSSD,15.6Inch(39.62cm)FHDAMOLEDDisplay,IntelARCGraphics,"1,54,990"
SamsungGalaxyBook5360Laptop,IntelCoreUltra7,16GBLPDDR5XRAM,1TBSSD,15.6Inch(39.62cm)FHDAMOLEDDisplay,IntelARCGraphics,"1,38,990"
DellInspiron15Laptop,13thGenIntelCorei3,8GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"38,999"
HP15Laptop,AMDRyzen5,16GBRAM,512GBSSD,15.6inch(39.6cm)FHDDisplay,AMDRadeonGraphics,"41,990"
StoreDisplayUnit-LenovoIdeaPad314IAU7Laptop,12thGenCorei3,8GBRAM,512GBSSD,14inches(35.56cm)Display,IntelUHDGraphics,"32,490"
AcerAspireLiteLaptop,13thGenCorei3-1305U,8GBRAM,512GBSSD,15.6Inch-39.62cmFHDDisplay,Win11,"39,999"
StoreDisplayUnit-DellInspiron14plusLaptop,IntelCorei5,16GBDDR5RAM,512GBSSD,14Inch(35.56cm)FHDPlusIPSDisplay,IntelGraphics,"60,000"
LenovoLOQ15IAX9GamingLaptop,12thGenIntelCorei5,12GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,NVIDIAGeForceRTX20504GBGraphics,"64,990"
DellInspiron15Laptop,13thGenIntelCorei5,16GBDDR4RAM,1TBSSD,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"58,990"
StoreDisplayUnit-DellInspiron15Laptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelIrisXeGraphics,"60,999"
StoreDisplayUnit-AcerPredatorHeliosNeo14GamingLaptop,IntelCoreUltra716GBLPDDR5XRAM,1TBSSD,14.5Inch(36.83cm)FHDDisplay,NVIDIAGeForceRTX40506GBGraphics,BacklitKeyboard,"1,10,298"
LenovoSlim3-1512thGenLaptop,IntelCorei5,16GBLPDDR5RAM,512GBSSD,15.6Inch(39.62cm)FHDIPSDisplay,IntelUHDGraphics,"57,999"
HPVictus13thGenGamingLaptop,IntelCorei5,16GBDDR4RAM,512GBSSD,NVIDIAGeForceRTX30506GBGraphics,15.6Inch(39.62cm)144HzFullHDDisplay,"72,758"
StoreDisplayUnit-DellInspiron15Laptop,IntelCorei312thGen,8GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)Display,IntelUHDGraphics,"30,000"
AcerNITROVANV15-41GamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6inch(39.6cm)FullHDDisplay,NVIDIAGeForceRTXTM40506GBGraphics,"80,990"
StoreDisplayUnit-AcerNITROVANV15-41GamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6inch(39.6cm)144HzFullHDDisplay,NVIDIAGeForceRTX30506GBGraphics,"67,000"
DellInspiron14Laptop,IntelCorei513thGen,16GBRAM,512GBSSD,14inch(35.56cm)FHDPlusIPSDisplay,IntelIrisXeGraphics,"66,999"
StoreDisplayUnit-HPPavilion16Laptop,IntelCoreUltra5processor,16GBRAM,512GBSSD,40.6cm(16)diagonalWUXGAdisplay,1080pFHD,"70,999"
StoreDisplayUnit-DellInspiron15Laptop,12thGenCorei5,8GBRAM,512GBSSD,15.6inch,IntelUHDGraphics,"53,999"
StoreDisplayUnit-DellInspiron14Laptop,Core3Processor,8GBRAM,512GBSSD,14inch(35.56cm),Touchscreen,"68,499"
StoreDisplayUnit-HPLaptop,"14thGenIntelCoreUltra7155H,16GBRAM",512GBSSD,14inch(35.56cm)diagonalFHDdisplay,IntelArcGraphics,Silver,"72,000"
