Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,display,graphics,prices
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.62 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"2,19,990"
Samsung,Intel,Core Ultra,7,16,1TB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"1,84,990"
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.62 cm) WQXGA+ Display with Touchscreen, Intel Arc B390 Graphics,"2,42,990"
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.62 cm) WQXGA+ Display with Touchscreen, 8GB-NVIDIA GeForce RTX 5070 Graphics,"4,17,190"
Samsung,Intel,Core Ultra,7,16,1TB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Display with Touchscreen, Intel Graphics,"1,98,790"
Lenovo,AMD,Ryzen AI,7,32,1TB,14,OLED, 14 Inch (35.56 cm) OLED 10-point Multi-touch Display, AMD Radeon 860M Graphics,"1,16,999"
Lenovo,AMD,Ryzen,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"43,999"
Acer,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD IPS Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"90,599"
Lenovo,AMD,Ryzen,5,12,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 3050A Graphics,"70,999"
HP,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) FHD Display, Intel Iris Xe Graphics,"60,499"
HP,Intel,Core,3,8,512GB,15.6,FHD, 15.6 Inch (39.6 cm) FHD Display, Intel Graphics,"47,999"
ASUS,AMD,Ryzen,7,16,512GB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,06,990"
ASUS,Intel,Core i,i3,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"53,990"
ASUS,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"47,990"
Dell,Intel,Core,5,16,512GB,14,Full HD, 14 Inch (35.56 cm) Full HD+ Display, Intel UHD Graphics,"64,999"
HP,Intel,Core Ultra,5,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) FHD IPS Display, Intel Arc Graphics,"71,999"
ASUS,AMD,Ryzen,5,16,512GB,14,Full HD, 14 Inch Full HD Anti-Glare Display, Integrated AMD Radeon Graphics GPU,"48,990"
Lenovo,Intel,Core,9,32,1TB,14,WUXGA, 14 Inch WUXGA OLED Display, Integrated Intel Graphics GPU,"1,05,990"
Lenovo,Intel,Core i,i7,32,1TB,15.6,Full HD, 15.6 Inch Full HD 144Hz IPS Display, NVIDIA GeForce RTX 5060 8GB GPU,"1,47,999"
ASUS,Intel,Core i,i3,8,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel UHD Graphics GPU,"47,990"
ASUS,AMD,Ryzen,3,8,512GB,14,FHD, 14 Inch (35.56 cm) FHD Display, AMD Radeon Graphics,"43,990"
Dell,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"73,499"
Lenovo,AMD,Ryzen AI,7,24,1TB,14,OLED, 14 Inch (35.56 cm) OLED 10-point Multi-touch Display, AMD Radeon 860M Graphics,"99,990"
Dell,Intel,Core i,i3,8,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, Intel UHD Graphics,"42,999"
Asus,AMD,Ryzen,5,8,512GB,14,FHD,14 Inch (35.56) FHD Display ,AMD Radeon Graphics ,"43,990"
HP,AMD,Ryzen,3,8,512GB,14,, 14 inch (35.56 cm) Display, AMD Radeon Graphics,"38,999"
Lenovo,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"42,990"
HP,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, Intel UHD Graphics,"59,490"
Lenovo,Intel,Core i,i7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,30,999"
Lenovo,Intel,Core i,i7,32,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,47,999"
Lenovo,Intel,Core i,i5,16,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel UHD Graphics,"65,999"
Acer,Intel,Core i,i7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD IPS Display, Intel UHD Graphics,"54,990"
Acer,Intel,Core Ultra,5,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA OLED Display, Intel Graphics,"57,990"
Samsung,Intel,Core Ultra,7,16,1TB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel Graphics,"1,03,990"
Samsung,Intel,Core Ultra,7,32,1TB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel Graphics,"1,19,990"
Samsung,Intel,Core Ultra,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"81,990"
ASUS,Intel,Core,5,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA Display, Intel UHD Graphics,"65,990"
ASUS,AMD,Ryzen,7,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,11,990"
Dell,Intel,Core,7,16,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,49,990"
Acer,Intel,Core Ultra,7,16,1TB,14,OLED, 14 Inch (35.56 cm) OLED Multi-touch IPS Display, Intel ARC Graphics,"88,990"
Acer,Intel,Core Ultra,7,16,1TB,16,OLED, 16 Inch (40.64 cm) OLED Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,49,990"
Acer,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"72,999"
Lenovo,AMD,Ryzen,5,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"41,499"
HP,Intel,Core i,i7,24,1TB,16,, 16 Inch (40.6 cm) Diagonal Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,44,999"
HP,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"89,990"
Lenovo,Intel,Core i,i3,8,512GB,14,Full HD, 14 Inch (35.6 cm) Full HD Display, Intel UHD Graphics,"48,499"
HP,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, AMD Radeon Graphics,"53,990"
ASUS,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) FHD IPS Display, AMD Radeon Graphics,"49,990"
Dell,Intel,Core i,i7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB NVIDIA GeForce RTX 3050 Graphics,"95,999"
Lenovo,AMD,Ryzen,7,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB NVIDIA GeForce RTX 3050A Graphics,"71,990"
Acer,Intel,Core Ultra,5,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA IPS Display, Intel Graphics,"61,999"
HP,Intel,Core Ultra,5,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) diagonal FHD Display, Intel Arc Graphics,"70,499"
Acer,AMD,Ryzen,5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, 6GB NVIDIA GeForce RTX 3050 Graphics,"60,999"
HP,Intel,Core i,i3,8,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, Intel® UHD Graphics,"41,990"
HP,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, Intel Iris Xe Graphics,"59,999"
HP,AMD,Ryzen,5,16,512GB,16,WUXGA," 16 Inch (40.6 cm) diagonal, WUXGA IPS Display", AMD Radeon™ Graphics,"59,999"
Lenovo,Intel,Core Ultra,5,32,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel Arc Graphics 130V,"1,19,999"
Lenovo,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel® UHD Graphics,"41,999"
Lenovo,AMD,Ryzen,7,24,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, AMD Radeon™ 860M Graphics,"93,999"
ASUS,Intel,Core i,i5,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, NVIDIA RTX 5050 8GB Graphics,"1,19,990"
MSI,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, NVIDIA GeForce RTX 3050 4GB Graphics,"76,990"
MSI,Intel,Core i,i7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, NVIDIA GeForce RTX 3050 4GB Graphics,"89,990"
MSI,Intel,Core,7,16,1TB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, NVIDIA GeForce RTX 5050 8GB Graphics,"1,15,990"
MSI,Intel,Core,7,16,1TB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, NVIDIA GeForce RTX 5060 8GB Graphics,"1,25,990"
Lenovo,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"40,990"
Acer,AMD,Ryzen,3,8,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"49,999"
ASUS,Intel,Core i,i7,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, 6GB NVIDIA GeForce RTX 4050 Graphics,"1,13,990"
Lenovo,Intel,Core Ultra,5,16,1TB,14,WUXGA, 14 Inch (35.56 cm) WUXGA OLED Display, Intel Arc Graphics,"88,999"
Dell,Intel,Core i,i7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"93,990"
Dell,Intel,Core i,i5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, Intel® Iris® Xe Graphics,"78,000"
Dell,AMD,Ryzen,5,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"42,999"
Acer,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel UHD Graphics,"51,999"
ASUS,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 3050 Graphics,"66,990"
HP,AMD,Ryzen AI,5,16,512GB,13.3,WQXGA, 13.3 Inch (33.78 cm) diagonal WQXGA Display, AMD Radeon 840M Graphics,"78,999"
HP,AMD,Ryzen AI,7,16,512GB,16,, 16 Inch (40.64 cm) diagonal 2K Touchscreen Display, AMD Radeon 860M Graphics,"79,499"
HP,AMD,Ryzen AI,5,16,512GB,16,, 16 Inch (40.64 cm) diagonal 2K Display, AMD Radeon 840M Graphics,"72,499"
HP,Intel,Core Ultra,7,16,512GB,14,OLED, 14 Inch (35.56 cm) diagonal 3K OLED Touchscreen Display, Intel Arc Graphics,"1,38,999"
Dell,Intel,Core i,i5,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"83,999"
Acer,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, 6 GB-NVIDIA GeForce RTX TM 3050 Graphics,"79,998"
Lenovo,Intel,Core i,i5,16,512GB,14,, 14 Inch (35.56 cm) Touchscreen Display, Intel UHD Graphics,"76,499"
Apple,Apple,M2,,16,256GB,13.6,Liquid Retina, 13.6 inch (34.46 cm) Liquid Retina Display, 8-core CPU,"69,900"
Acer,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch - 39.62cm FHD Display ,Win 11 ,"39,999"
Dell,Intel,Core i,i7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"93,990"
Dell,Intel,Core i,i5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, Intel® Iris® Xe Graphics,"78,000"
Dell,AMD,Ryzen,5,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"42,999"
Acer,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel UHD Graphics,"51,999"
ASUS,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 3050 Graphics,"66,990"
HP,AMD,Ryzen AI,5,16,512GB,13.3,WQXGA, 13.3 Inch (33.78 cm) diagonal WQXGA Display, AMD Radeon 840M Graphics,"78,999"
HP,AMD,Ryzen AI,7,16,512GB,16,, 16 Inch (40.64 cm) diagonal 2K Touchscreen Display, AMD Radeon 860M Graphics,"79,499"
HP,AMD,Ryzen AI,5,16,512GB,16,, 16 Inch (40.64 cm) diagonal 2K Display, AMD Radeon 840M Graphics,"72,499"
HP,Intel,Core Ultra,7,16,512GB,14,OLED, 14 Inch (35.56 cm) diagonal 3K OLED Touchscreen Display, Intel Arc Graphics,"1,38,999"
Dell,Intel,Core i,i5,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"83,999"
Acer,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, 6 GB-NVIDIA GeForce RTX TM 3050 Graphics,"79,998"
Lenovo,Intel,Core i,i5,16,512GB,14,, 14 Inch (35.56 cm) Touchscreen Display, Intel UHD Graphics,"76,499"
Apple,Apple,M2,,16,256GB,13.6,Liquid Retina, 13.6 inch (34.46 cm) Liquid Retina Display, 8-core CPU,"69,900"
Acer,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch - 39.62cm FHD Display ,Win 11 ,"39,999"
Acer,Intel,Core Ultra,5,16,512GB,14,, 14 Inch (35.56 cm) Touchscreen Display, Intel ARC Graphics,"75,990"
ASUS,Intel,Core,5,16,512GB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, 4GB GDDR6 NVIDIA GeForce RTX 3050A Graphics,"74,990"
HP,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) diagonal FHD IPS Display, 4GB NVIDIA® GeForce RTX 2050 Graphics,"64,559"
Samsung,Intel,Core Ultra,7,16,512GB,16,WQXGA, 16 Inch (40.64 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,49,990"
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,95,990"
Samsung,Intel,Core Ultra,7,16,512GB,16,WQXGA, 16 Inch (40.64 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,63,990"
Samsung,Intel,Core Ultra,5,16,512GB,16,WQXGA, 16 Inch (40.64 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,55,990"
Samsung,Intel,Core Ultra,7,32,1TB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,54,990"
Samsung,Intel,Core Ultra,7,16,1TB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,38,990"
Dell,Intel,Core i,i3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"38,999"
HP,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 inch (39.6 cm) FHD Display, AMD Radeon Graphics,"41,990"
Lenovo,Intel,Core i,i5,12,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, NVIDIA GeForce RTX2050 4GB Graphics,"64,990"
Dell,Intel,Core i,i5,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"58,990"
Lenovo,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD IPS Display, Intel UHD Graphics,"57,999"
HP,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) 144 Hz Full HD Display, NVIDIA GeForce RTX 3050 6GB Graphics,"72,758"
Acer,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 inch (39.6 cm) Full HD Display, NVIDIA GeForce RTXTM 4050 6GB Graphics,"80,990"
Dell,Intel,Core i,i5,16,512GB,14,FHD, 14 inch (35.56 cm) FHD Plus IPS Display, Intel Iris Xe Graphics,"66,999"
HP,Intel,Core i,i5,16,512GB,15.6,, 15.6 inch (39.62 cm) Display, 6GB RTX 4050 Graphics,"82,990"
Asus,Intel,Core i,i7,16,1TB,16,FHD, 16 Inch (40.64 cm) FHD Display, 6GB RTX 4050 Graphics,"1,13,990"
Apple,Apple,M4 Pro,,24,512GB,16.2,Liquid Retina XDR, 16.2 inch (41.05 cm) Liquid Retina XDR Display, 14-core CPU,"2,29,900"
Apple,Apple,M4 Pro,,24,512GB,16.2,Liquid Retina XDR, 16.2 inch (41.05 cm) Liquid Retina XDR Display, 14-core CPU,"2,29,900"
Apple,Apple,M4,,16,512GB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 10-core CPU,"1,36,990"
Apple,Apple,M4,,16,1TB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 10-core CPU,"1,59,990"
Apple,Apple,M4 Pro,,24,512GB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 12-core CPU,"1,89,900"
Apple,Apple,M4 Pro,,48,512GB,16.2,Liquid Retina XDR, 16.2 inch (41.05 cm) Liquid Retina XDR Display, 14-core CPU,"2,75,399"
Apple,Apple,M4,,24,1TB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 10-core CPU,"1,99,500"
Apple,Apple,M3,,16,256GB,15.3,Liquid Retina, 15.3 inch (38.91 cm) Liquid Retina Display, 8-core CPU,"78,334"
Apple,Apple,M4 Max,,36,1TB,16.2,Liquid Retina XDR, 16.2 inch (41.05 cm) Liquid Retina XDR Display, 14-core CPU,"3,32,500"
Apple,Apple,M4 Pro,,24,1TB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 14-core CPU,"2,15,900"
Apple,Apple,M4,,16,1TB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 10-core CPU,"1,70,900"
Apple,Apple,M3,,16,256GB,15.3,Liquid Retina, 15.3 inch (38.91 cm) Liquid Retina Display, 8-core CPU,"78,334"
Apple,Apple,M4 Max,,48,1TB,16.2,Liquid Retina XDR, 16.2 inch (41.05 cm) Liquid Retina XDR Display, 16-core CPU,"3,79,905"
Apple,Apple,M4,,16,512GB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 10-core CPU,"1,52,900"
Apple,Apple,M4 Pro,,24,512GB,14.2,Liquid Retina XDR, 14.2 inch (35.97 cm) Liquid Retina XDR Display, 12-core CPU,"1,89,900"
Apple,Apple,M2,,16,256GB,13.6,Liquid Retina, 13.6 inch (34.46 cm) Liquid Retina Display, 8-core CPU,"72,990"
Apple,Apple,M3,,8,512GB,15.3,Liquid Retina, 15.3 Inch 38.91cm Liquid Retina Display , 8 Core CPU 10 CORE GPU ,"99,590"
Apple,Apple,M3,,8,512GB,15.3,Liquid Retina, 15.3 Inch 38.91cm Liquid Retina Display , 8 Core CPU 10 CORE GPU ,"99,590"
Apple,Apple,M3,,16,512GB,15.3,Liquid Retina, 15.3 Inch 38.91cm Liquid Retina Display , 8 Core CPU 10 CORE GPU ,"92,776"
Apple,Apple,M3,,16,512GB,15.3,Liquid Retina, 15.3 Inch 38.91cm Liquid Retina Display , 8 Core CPU 10 CORE GPU ,"92,776"
Apple,Apple,M3,,16,512GB,15.3,Liquid Retina, 15.3 Inch 38.91cm Liquid Retina Display , 8 Core CPU 10 CORE GPU ,"92,776"
Apple,Apple,M5,,24,1TB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,69,990"
Apple,Apple,M5,,16,1TB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,51,690"
Apple,Apple,M5,,24,1TB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,69,990"
Apple,Apple,M5,,16,1TB,15,Liquid Retina, 15 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,51,690"
Apple,Apple,M5,,24,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,46,990"
Apple,Apple,M5,,24,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,46,990"
Apple,Apple,M5,,16,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,28,690"
Apple,Apple,M5,,24,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,46,990"
Apple,Apple,M5,,16,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,28,690"
Apple,Apple,M5,,24,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,46,990"
Apple,Apple,M5,,16,1TB,13,Liquid Retina, 13 Inch Liquid Retina Display, 10‑core CPU and 10‑core GPU,"1,28,690"
HP,Intel,Core Ultra,7,32,1TB,14,OLED," 14 Inch (35.56 cm) diagonal, 3K OLED Display", Intel Arc 140T GPU,"1,21,999"
ASUS,Intel,Core Ultra,9,32,1TB,14,OLED, 14 Inch (35.56 cm) OLED Touch Screen Display, Intel Arc Graphics,"1,37,990"
Apple,Apple,M5,,16,512GB,14,Liquid Retina XDR, 14 inch (35.56 cm) Liquid Retina XDR Display, 10-core CPU,"1,52,900"
Dell,AMD,Ryzen,3,8,512GB,15.6,, 15.6 inch (39.62 cm) Display, AMD Radeon 610M Graphics,"34,499"
